real_name,h01_01,h01_02,h01_03,h01_04,h01_05,h01_06,h01_07,h01_08,h01_09,h01_10,h02_01,h02_02,h02_03,h02_04,h02_05,h02_06,h02_07,h02_08,h02_09,h02_10
0,1,1.182,1.331,1.785,2.278,2.496,2.678,2.835,3.0069999999999997,3.1310000000000002,1,1.364,1.663,2.57,3.555,3.9930000000000003,4.357,4.671,5.013999999999999,5.2620000000000005
1,1,1.413,1.774,1.906,2.04,2.6010000000000004,3.2430000000000003,3.786,4.224,4.2989999999999995,1,1.827,2.548,2.813,3.08,4.202,5.485,6.572,7.4479999999999995,7.599
2,1,1.158,1.504,1.8219999999999998,1.982,2.211,2.34,2.495,2.92,3.4819999999999998,1,1.315,2.0069999999999997,2.6439999999999997,2.964,3.4219999999999997,3.68,3.991,4.84,5.965
3,1,1.16,1.6130000000000002,2.174,2.379,2.427,3.04,3.7760000000000002,4.051,4.212,1,1.32,2.225,3.3480000000000003,3.758,3.8539999999999996,5.081,6.553,7.101,7.4239999999999995
4,1,1.166,1.41,1.679,1.7930000000000001,1.882,2.079,2.399,2.653,2.7289999999999996,1,1.3319999999999999,1.821,2.358,2.585,2.764,3.158,3.798,4.305,4.457
5,1,1.3090000000000002,1.536,1.58,1.62,1.6869999999999998,1.768,2.6,3.45,3.7260000000000004,1,1.619,2.072,2.16,2.239,2.373,2.536,4.2,5.901,6.452000000000001
6,1,1.212,1.555,1.9480000000000002,2.278,2.499,2.945,3.4819999999999998,3.6830000000000003,3.767,1,1.423,2.11,2.895,3.555,3.997,4.89,5.965,6.3660000000000005,6.5329999999999995
7,1,1.111,1.3319999999999999,1.8969999999999998,2.396,2.5669999999999997,2.6289999999999996,2.792,3.142,3.715,1,1.222,1.6640000000000001,2.7939999999999996,3.793,4.1339999999999995,4.2589999999999995,4.585,5.284,6.43
8,1,1.28,1.771,2.138,2.2319999999999998,2.292,2.333,2.419,2.8489999999999998,3.387,1,1.56,2.541,3.2760000000000002,3.464,3.5839999999999996,3.6660000000000004,3.838,4.699,5.775
9,1,1.187,1.376,1.6219999999999999,1.899,2.093,2.367,2.6039999999999996,2.707,2.872,1,1.374,1.7530000000000001,2.244,2.7969999999999997,3.1860000000000004,3.734,4.208,4.414,4.744
10,1,1.209,1.5490000000000002,1.895,2.267,2.533,2.687,2.878,3.054,4.131,1,1.419,2.099,2.79,3.533,4.066,4.373,4.757,5.1080000000000005,7.263
11,1,1.246,1.526,1.814,2.133,2.517,2.898,3.14,3.645,4.224,1,1.492,2.052,2.627,3.267,4.034,4.796,5.281000000000001,6.291,7.4479999999999995
12,1,1.401,1.871,2.112,2.239,2.449,2.658,2.748,2.978,3.978,1,1.8019999999999998,2.741,3.225,3.478,3.897,4.316,4.497,4.957,6.956
13,1,1.21,1.42,1.7630000000000001,2.198,2.48,2.654,2.984,3.253,3.37,1,1.42,1.839,2.526,3.397,3.9589999999999996,4.308,4.967,5.506,5.739
14,1,1.297,1.722,2.0140000000000002,2.435,2.806,2.84,2.977,3.295,3.5210000000000004,1,1.594,2.445,3.028,3.87,4.613,4.68,4.953,5.59,6.042999999999999
15,1,1.136,1.19,1.6059999999999999,2.079,2.178,2.535,3.867,5.1610000000000005,5.566,1,1.272,1.379,2.213,3.159,3.3560000000000003,4.07,6.734,9.321,10.132
16,1,1.166,1.2770000000000001,1.508,1.845,2.092,2.293,3.2769999999999997,4.235,4.577,1,1.3319999999999999,1.554,2.016,2.6910000000000003,3.185,3.5860000000000003,5.553999999999999,7.471,8.154
17,1,1.1420000000000001,1.556,1.969,2.025,2.965,4.0280000000000005,4.263,4.479,4.735,1,1.2830000000000001,2.112,2.938,3.05,4.93,7.056,7.526,7.959,8.47
18,1,1.266,1.4869999999999999,1.949,2.388,2.45,2.4930000000000003,2.7769999999999997,3.074,3.194,1,1.5319999999999998,1.975,2.898,3.7760000000000002,3.9,3.986,4.553999999999999,5.149,5.3870000000000005
19,1,1.462,1.9,1.9869999999999999,2.207,2.463,2.521,2.6,2.696,2.745,1,1.923,2.8,2.9739999999999998,3.4139999999999997,3.926,4.042,4.2,4.393,4.4910000000000005
20,1,1.176,1.2770000000000001,1.82,2.383,2.5140000000000002,2.613,2.637,2.7430000000000003,3.093,1,1.3519999999999999,1.555,2.64,3.766,4.029,4.225,4.274,4.485,5.185
21,1,1.3159999999999998,1.716,2.084,2.359,2.582,2.7539999999999996,2.8680000000000003,3.072,3.2489999999999997,1,1.633,2.431,3.168,3.717,4.165,4.508,4.735,5.144,5.499
22,1,1.13,1.227,1.496,1.94,2.225,2.359,2.6010000000000004,3.122,3.5989999999999998,1,1.26,1.453,1.992,2.88,3.45,3.718,4.202,5.245,6.197
23,1,1.454,1.8559999999999999,2.0909999999999997,2.345,2.495,2.635,2.725,3.1039999999999996,3.49,1,1.9080000000000001,2.7119999999999997,3.182,3.6889999999999996,3.99,4.27,4.4510000000000005,5.207000000000001,5.981
24,1,1.359,1.7719999999999998,2.015,2.255,2.416,2.537,2.79,3.162,3.4139999999999997,1,1.7180000000000002,2.545,3.03,3.51,3.832,4.075,4.58,5.324,5.827000000000001
25,1,1.111,1.4669999999999999,1.9869999999999999,2.246,2.435,2.6660000000000004,2.8080000000000003,2.892,3.0260000000000002,1,1.2209999999999999,1.933,2.9739999999999998,3.492,3.8710000000000004,4.331,4.615,4.785,5.051
26,1,1.341,1.742,2.21,2.531,2.5780000000000003,2.865,3.2030000000000003,3.375,3.8110000000000004,1,1.682,2.484,3.42,4.062,4.157,4.729,5.405,5.749,6.622999999999999
27,1,1.212,1.376,1.496,1.5959999999999999,1.695,1.819,2.202,2.7060000000000004,3.003,1,1.4240000000000002,1.7519999999999998,1.993,2.1919999999999997,2.39,2.639,3.403,4.413,5.007
28,1,1.504,2.023,2.1790000000000003,2.464,2.753,3.0269999999999997,3.377,3.762,4.351,1,2.0069999999999997,3.0469999999999997,3.358,3.929,4.507,5.055,5.754,6.523,7.702000000000001
base,1,1.235,1.524,1.825,2.053,2.227,2.412,2.6060000000000003,2.812,3.0210000000000004,1,1.469,2.048,2.65,3.1069999999999998,3.4530000000000003,3.824,4.211,4.625,5.041
